Wall time,Step,Value
1645462370.048491,256,0.00025479617761448026
1645462426.886202,512,0.000766386860050261
1645462483.892536,768,0.0012779776006937027
1645462540.4763362,1024,0.0017895684577524662
1645462624.466476,1280,0.002301159081980586
1645462680.695902,1536,0.002812749706208706
1645462736.994683,1792,0.0033243405632674694
1645462793.284819,2048,0.0038359311874955893
1645462849.568145,2304,0.004347521811723709
1645462911.570277,2560,0.004846207797527313
1645462968.0899,2816,0.004999863915145397
1645463024.493213,3072,0.004999314434826374
1645463081.154922,3328,0.004998316988348961
1645463137.62523,3584,0.004996871575713158
1645463200.412701,3840,0.004994977731257677
1645463256.750106,4096,0.004992636851966381
1645463313.114261,4352,0.004989848472177982
1645463369.732894,4608,0.0049866135232150555
1645463426.108711,4864,0.004982932470738888
1645463487.290007,5120,0.004978806246072054
1645463543.807545,5376,0.004974235314875841
1645463600.1871817,5632,0.004969220608472824
1645463656.540412,5888,0.004963763058185577
1645463712.974854,6144,0.004957863129675388
1645463774.783439,6400,0.004951522685587406
1645463831.239556,6656,0.0049447426572442055
1645463887.656071,6912,0.004937523510307074
1645463944.099947,7168,0.004929867573082447
1645464001.127948,7424,0.004921775311231613
1645464063.035107,7680,0.0049132490530610085
1645464119.473022,7936,0.0049042897298932076
1645464176.001306,8192,0.004894899670034647
1645464232.5894053,8448,0.004885079804807901
1645464289.0536273,8704,0.004874831065535545
1645464350.57126,8960,0.004864157177507877
1645464407.171796,9216,0.004853059537708759
1645464463.761976,9472,0.004841539077460766
1645464520.371931,9728,0.004829599056392908
1645464576.946618,9984,0.004817240871489048
1645464638.138494,10240,0.004804466851055622
1645464694.592997,10496,0.0047912802547216415
1645464751.246845,10752,0.004777682013809681
1645464807.678518,11008,0.0047636753879487514
1645464869.744514,11264,0.00474926270544529
1645464926.129654,11520,0.004734446294605732
1645464982.5827847,11776,0.004719228949397802
1645465039.20799,12032,0.004703613929450512
1645465095.593429,12288,0.00468760309740901
1645465158.101626,12544,0.004671200644224882
1645465214.654528,12800,0.00465440796688199
1645465271.242801,13056,0.004637229256331921
1645465327.778351,13312,0.0046196673065423965
1645465384.301673,13568,0.004601725377142429
1645465446.024015,13824,0.004583405330777168
1645465502.503834,14080,0.004564712289720774
1645465559.003861,14336,0.0045456490479409695
1645465615.501009,14592,0.004526218399405479
1645465671.9382184,14848,0.004506425000727177
1645465733.03243,15104,0.004486271180212498
1645465789.506787,15360,0.004465760663151741
1645465846.190956,15616,0.00444489810615778
1645465902.687333,15872,0.0044236863031983376
1645465970.68108,16128,0.004402129910886288
1645466032.719094,16384,0.004380232188850641
1645466089.204251,16640,0.004357996396720409
1645466145.818668,16896,0.00433542812243104
1645466202.288771,17152,0.004312530625611544
1645466258.890497,17408,0.004289307631552219
1645466320.462281,17664,0.00426576379686594
1645466377.045587,17920,0.0042419033125042915
1645466433.371549,18176,0.0042177303694188595
1645466489.953214,18432,0.00419324915856123
1645466546.389461,18688,0.004168464336544275
1645466607.785419,18944,0.004143380559980869
1645466664.2861843,19200,0.004118001088500023
1645466720.7589357,19456,0.004092331975698471
1645466777.348858,19712,0.004066376946866512
1645466833.717309,19968,0.004040141589939594
1645466894.618683,20224,0.004013629164546728
1645466950.872294,20480,0.003986845724284649
1645467007.334023,20736,0.003959795460104942
1645467063.767984,20992,0.003932483494281769
1645467120.2370443,21248,0.003904914017766714
1645467182.351128,21504,0.003877093084156513
1645467238.796007,21760,0.003849024884402752
1645467295.275246,22016,0.0038207145407795906
1645467351.766117,22272,0.0037921678740531206
1645467413.983766,22528,0.003763388842344284
1645467470.461713,22784,0.0037343832664191723
1645467526.867915,23040,0.0037051565013825893
1645467583.414576,23296,0.003675713436678052
1645467639.853954,23552,0.003646059427410364
1645467701.832018,23808,0.00361619982868433
1645467758.227375,24064,0.0035861399956047535
1645467815.020141,24320,0.0035558855161070824
1645467871.468379,24576,0.003525441512465477
1645467927.950967,24832,0.003494813572615385
1645467990.091413,25088,0.003464006818830967
1645468046.496449,25344,0.0034330275375396013
1645468102.859912,25600,0.0034018810838460922
1645468159.289443,25856,0.0033705723471939564
1645468215.779653,26112,0.003339107846841216
1645468277.260192,26368,0.0033074927050620317
1645468333.691984,26624,0.003275732509791851
1645468390.226493,26880,0.003243833314627409
1645468446.662318,27136,0.003211800940334797
1645468503.176354,27392,0.003179640509188175
1645468564.318748,27648,0.003147358074784279
1645468620.8682797,27904,0.0031149601563811302
1645468677.346292,28160,0.0030824511777609587
1645468733.890112,28416,0.003049838123843074
1645468790.388637,28672,0.0030171263497322798
1645468851.570973,28928,0.002984321676194668
1645468908.288452,29184,0.0029514303896576166
1645468965.006741,29440,0.002918458078056574
1645469021.688968,29696,0.0028854107949882746
1645469078.249424,29952,0.0028522941283881664
1645469140.129101,30208,0.002819114364683628
1645469196.623209,30464,0.002785877324640751
1645469253.015811,30720,0.00275258906185627
1645469309.511824,30976,0.0027192551642656326
1645469366.029977,31232,0.0026858823839575052
1645469427.239537,31488,0.0026524760760366917
1645469483.655656,31744,0.0026190425269305706
1645469551.848802,32000,0.0025855875574052334
1645469608.310658,32256,0.002552117221057415
1645469664.899158,32512,0.0025186375714838505
1645469726.238292,32768,0.002485154662281275
1645469782.729644,33024,0.0024516740813851357
1645469839.159628,33280,0.0024182023480534554
1645469895.570347,33536,0.002384745515882969
1645469956.855849,33792,0.002351309172809124
1645470013.374289,34048,0.0023178993724286556
1645470069.987185,34304,0.0022845224011689425
1645470126.58579,34560,0.002251184079796076
1645470183.157067,34816,0.002217890229076147
1645470244.191201,35072,0.002184647135436535
1645470301.122904,35328,0.0021514608524739742
1645470357.955725,35584,0.002118336735293269
1645470414.581495,35840,0.0020852810703217983
1645470471.310656,36096,0.0020522999111562967
1645470533.03761,36352,0.002019398845732212
1645470589.500843,36608,0.001986584160476923
1645470646.0919013,36864,0.001953861676156521
1645470702.5355403,37120,0.001921237213537097
1645470758.869512,37376,0.001888716360554099
1645470820.738775,37632,0.0018563054036349058
1645470877.08919,37888,0.0018240096978843212
1645470933.550727,38144,0.0017918352968990803
1645470990.053612,38400,0.0017597879050299525
1645471046.59309,38656,0.0017278734594583511
1645471108.631172,38912,0.0016960971988737583
1645471165.083537,39168,0.0016644654097035527
1645471221.357965,39424,0.0016329835634678602
1645471277.681405,39680,0.001601656898856163
1645471334.183991,39936,0.001570491585880518
1645471395.131989,40192,0.001539492979645729
1645471451.435064,40448,0.0015086667845025659
1645471507.932069,40704,0.0014780182391405106
1645471564.672283,40960,0.0014475531643256545
1645471621.409322,41216,0.0014172769151628017
1645471683.417864,41472,0.0013871947303414345
1645471739.89361,41728,0.0013573120813816786
1645471796.424597,41984,0.0013276346726343036
1645471852.847637,42240,0.0012981673935428262
1645471909.523488,42496,0.0012689155992120504
1645471970.521498,42752,0.001239884877577424
1645472027.318581,43008,0.001211080001667142
