Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.4995117188,96.79999542,1903.767944,3.049717903,734.2506714
2.1,0.4724934995,96.79999542,1933.116089,3.131128311,719.0355835
2.2,0.515299499,96.79999542,2011.308228,2.977152586,770.2831421
2.3,0.4848632813,145.2000122,2114.824219,3.078928232,759.3828735
2.4,0.5336914063,145.2000122,2154.554443,2.887257338,814.6333008
2.5,0.5489909053,145.2000122,2255.156006,2.834910154,840.335144
2.6,0.560221374,145.2000122,2336.927979,2.781656504,868.4974976
2.7,0.5131835938,145.2000122,2434.824219,3.005745173,864.1372681
2.8,0.525390625,145.2000122,2499.3479,2.938998938,889.7769165
2.9,0.597330749,145.2000122,2594.851807,2.626007795,938.7069702
3,0.589518249,145.2000122,2676.00415,2.662204266,941.7901001
3.1,0.5930989385,145.2000122,2759.343994,2.656681061,972.3876953
3.2,0.595703125,145.2000122,2826.560303,2.636458158,1000.916321
3.3,0.5950520635,145.2000122,2918.388428,2.647414923,1036.511353
3.4,0.6201171875,193.5999908,3015.238037,2.561312675,1066.102051
3.5,0.6240234375,193.5999908,3125.470459,2.54031539,1094.015747
3.6,0.6254882813,193.5999908,3213.940186,2.515330076,1125.673828
3.7,0.630859375,193.5999908,3297.248047,2.503766298,1161.80188
3.8,0.6341145635,193.5999908,3390.336182,2.500115633,1192.134155
3.9,0.6378580928,193.5999908,3480.011963,2.478935957,1222.353516
4,0.6355794072,242.0000153,3570.095947,2.489666939,1253.79187
