Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.63069659,75.26399994,561.7280273,2.506801605,2993.115479
2.1,0.58707684,75.26399994,593.0239868,2.710784197,3014.604736
2.2,0.64241534,75.26399994,602.4320679,2.449299097,3213.758057
2.3,0.64713544,75.26399994,605.6960449,2.431841135,3359.886963
2.4,0.65218097,75.26399994,630.7841187,2.411574841,3505.432861
2.5,0.65722656,75.26399994,649.6000366,2.384062529,3651.148682
2.6,0.66894531,75.26399994,684.0960083,2.348180532,3796.952881
2.7,0.67089844,75.26399994,702.9120483,2.325707436,3879.958252
2.8,0.67333984,75.26399994,702.9120483,2.322808504,4026.606201
2.9,0.68001300,75.26399994,743.7440796,2.298887014,4234.498047
3,0.67301434,100.3519974,768.8320313,2.324223042,4380.755859
3.1,0.67659503,100.3519974,793.9199829,2.304455996,4526.632813
3.2,0.67740887,100.3519974,815.8080444,2.3094666,4660.53125
3.3,0.68066406,100.3519974,825.2800903,2.290869951,4668.504395
3.4,0.68033856,100.3519974,859.776062,2.285984755,4683.488281
3.5,0.67968750,100.3519974,878.59198,2.283039808,4722.193359
3.6,0.67968750,100.3519974,916.1600952,2.291003942,4784.46875
3.7,0.68391925,100.3519974,938.1759644,2.278142214,4868.074707
3.8,0.68343097,100.3519974,960.1279907,2.271761656,5091.027832
3.9,0.68554688,100.3519974,985.2160034,2.266002655,5595.183105
4,0.68750000,125.4400024,1013.376038,2.26666975,5777.306152
