Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.628092468,75.26399994,564.8640137,2.494513512,2928.087158
2.1,0.658040345,75.26399994,636.9280396,2.378124952,3117.140381
2.2,0.642740905,75.26399994,590.0160522,2.434364557,3191.767334
2.3,0.648274720,75.26399994,618.2400513,2.423689604,3191.892334
2.4,0.648763001,75.26399994,630.7841187,2.411083698,3486.679443
2.5,0.655924499,75.26399994,655.8720093,2.401027918,3550.804443
2.6,0.660156250,75.26399994,684.0960083,2.370511532,3781.716064
2.7,0.665852845,75.26399994,702.9120483,2.348638773,3713.620361
2.8,0.666992188,75.26399994,706.0480347,2.334861279,4034.13208
2.9,0.676595032,75.26399994,743.6801147,2.31193614,4179.027832
3,0.672363281,100.3519974,759.3600464,2.324659586,4265.556152
3.1,0.679036438,100.3519974,793.9199829,2.30252099,4496.468262
3.2,0.679036438,100.3519974,815.8720093,2.304802179,4561.644043
3.3,0.679850280,100.3519974,844.0961304,2.299092531,4561.644043
3.4,0.682291687,100.3519974,859.776062,2.284515142,4874.988281
3.5,0.683756530,100.3519974,888.000061,2.28159523,5077.740234
3.6,0.682617188,100.3519974,916.2240601,2.282432318,5151.468262
3.7,0.688476563,100.3519974,938.1759644,2.267119646,5133.160645
3.8,0.687662780,100.3519974,960.1279907,2.26127243,5520.108887
3.9,0.686848938,100.3519974,994.4960327,2.262246609,4751.721191
4,0.684895813,100.3519974,997.8240356,2.263712168,5675.881348
