Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.460063,96.79999542,1877.080078,3.248806715,703.1801147
2.2,0.483114,96.79999542,1988.199829,3.146881819,737.868103
2.4,0.513631,145.1999969,2150.476318,3.000661612,774.8600464
2.6,0.555725,145.1999969,2316.640381,2.831879854,794.1880493
2.8,0.571513,145.1999969,2494.060303,2.759961843,888.8440552
3,0.57074,145.1999969,2677.336182,2.766007185,959.4811401
3.2,0.578817,145.1999969,2855.496094,2.736305952,1027.001099
3.4,0.592367,193.5999908,3032.263916,2.684985161,1088.888916
3.6,0.60262,193.5999908,3214.756104,2.636996031,1137.976929
3.8,0.609456,193.5999908,3390.399658,2.607687473,1216.296997
4,0.61204,193.5999908,3531.104248,2.603690147,1282.710083
