Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.484965,301.0559692,1675.656128,3.091233015,1249.541992
2.2,0.525309,301.0559692,1843.431763,2.916884422,1302.630493
2.4,0.560811,451.5840149,2017.480347,2.768164873,1397.127075
2.6,0.604451,451.5840149,2174.63623,2.580762625,1512.049927
2.8,0.653178,451.5840149,2338.099854,2.383562803,1485.751587
3,0.673787,451.5840149,2515.284424,2.309263706,1750.410034
3.2,0.690572,451.5840149,2642.095947,2.23812747,1854.652466
3.4,0.671163,602.1119385,2813.632568,2.276239157,1811.453003
3.6,0.666382,602.1119385,2960.632568,2.285615683,1923.078003
3.8,0.659302,602.1119385,3150.324219,2.308990479,2037.234985
4,0.722839,602.1119385,3331.000244,2.093548775,2150.064209
2,0.486145,301.0559692,1675.656128,3.079354525,1249.588623
2.2,0.526428,301.0559692,1843.431763,2.902042627,1303.199951
2.4,0.557353,451.5840149,2017.480347,2.782736063,1397.237427
2.6,0.601095,451.5840149,2174.63623,2.591982603,1511.673218
2.8,0.657247,451.5840149,2338.099854,2.37803483,1646.14978
3,0.666667,451.5840149,2515.284424,2.320040226,1590.692261
3.2,0.689209,451.5840149,2642.095947,2.230982065,1853.894409
3.4,0.694539,602.1119385,2813.632568,2.211549759,1970.757935
3.6,0.666931,451.5840149,2866.55249,2.285406351,1923.053223
3.8,0.65802,602.1119385,3150.324219,2.308564186,2037.3302
4,0.724304,602.1119385,3305.912109,2.09564805,2310.459229
