Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.50415,96.79999542,1897.496094,3.051234484,735.0786743
2.2,0.521667,96.79999542,2000.776001,2.95892787,770.6036987
2.4,0.501343,145.1999969,2154.554443,3.038573265,781.2738647
2.6,0.563131,145.1999969,2343.199951,2.764799118,870.9819336
2.8,0.597107,145.1999969,2499.855957,2.640764236,908.756897
3,0.600647,145.1999969,2676.00415,2.630921125,943.8450317
3.2,0.604594,145.1999969,2832.832031,2.613734722,1002.089905
3.4,0.625224,193.5999908,3015.238037,2.531548262,1066.054565
3.6,0.636373,193.5999908,3213.940186,2.486917496,1125.140503
3.8,0.641805,193.5999908,3390.336182,2.469424725,1191.037231
4,0.642904,242.0000153,3567.403564,2.4681499,1253.516479
2.6,0.520589,145.1999969,2336.927979,2.976070166,837.8251343
2.8,0.581197,145.1999969,2502.992188,2.705575228,908.9052124
3,0.598185,145.1999969,2669.732178,2.629737616,946.8018188
3.2,0.604045,145.1999969,2832.832031,2.614319563,1000.411072
3.4,0.626567,193.5999908,3015.238037,2.529617548,1067.085205
3.6,0.636597,193.5999908,3213.940186,2.485564947,1125.438599
3.8,0.645487,193.5999908,3372.916748,2.457644463,1193.926147
4,0.64386,242.0000153,3567.403564,2.46443367,1253.655273
