Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.627636,75.26399994,652.8641357,2.677353144,4327.616211
2.2,0.631691,75.26399994,668.4160156,2.66435957,4367.550293
2.4,0.644745,75.26399994,696.7678833,2.601706743,4361.96582
2.6,0.653305,75.26399994,715.6481323,2.566384315,4376.321289
2.8,0.661339,75.26399994,767.0831299,2.533779383,4362.112793
3,0.656773,83.69200134,758.4440308,2.554001331,4365.371094
3.2,0.657509,100.3520126,758.934082,2.552651167,4365.021484
3.4,0.656971,83.88800812,761.776123,2.555389643,4357.814453
2.4,0.643612,75.26399994,696.8320313,2.601788998,4306.919922
2.6,0.654266,75.26399994,715.6481323,2.559423447,4375.207031
2.8,0.663273,75.26399994,768.3571777,2.528977394,4318.192871
3.4,0.656345,100.3520126,750.0159302,2.551183224,4375.360352
3.6,0.655144,100.3520126,750.0159302,2.553143501,4371.481445
3.8,0.655647,91.53201294,766.2841187,2.56201601,4360.662598
4,0.6881,125.44,1010.3681,2.8888888,5839.3281
