Size,Accuracy,Act Size Max,Act Size Sum,Loss,Weight Size
2,0.604594,150.5279846,1918.82019,2.622190714,902.6220703
2.2,0.631795,301.0559692,2187.340088,2.502057314,957.2158813
2.4,0.651978,301.0559692,2382.947754,2.418854237,1028.284058
2.6,0.649048,451.5840149,2569.611816,2.421616793,1115.285034
2.8,0.657349,451.5840149,2772.828125,2.392874956,1092.920044
3,0.667175,602.1119385,2977.292725,2.349479437,1279.238159
3.2,0.675883,602.1119385,3177.015869,2.309272528,1354.333008
3.4,0.681946,602.1119385,3375.260498,2.291146755,1337.866089
3.6,0.679382,752.6400757,3565.256592,2.301779032,1426.90979
3.8,0.681112,752.6400757,3766.12085,2.288431168,1501.461792
4,0.695455,752.6400757,3971.687744,2.24246788,1579.340698
2,0.610881,301.0559692,1997.452515,2.587609291,938.2383423
2.2,0.631063,301.0559692,2189.140381,2.502183199,985.6984863
2.4,0.653931,301.0559692,2383.927979,2.40897584,1054.010132
2.6,0.64978,451.5840149,2571.927979,2.421770096,1070.192139
2.8,0.664347,451.5840149,2777.924072,2.363296747,1172.443237
3,0.666178,602.1119385,2967.064209,2.35320282,1187.273193
3.2,0.678833,602.1119385,3176.000244,2.305192471,1357.405151
3.4,0.684998,602.1119385,3371.376221,2.280808449,1382.079102
3.6,0.689311,752.6400757,3561.69165,2.27041626,1418.175903
3.8,0.692281,752.6400757,3761.379883,2.256226301,1500.124023
4,0.696777,752.6400757,3966.984131,2.238253832,1727.472046
