Namespace(alpha=0.95, alpha_vr=0.85, architecture='700-500-300-250', batch_size=128, data_set='Smile', epochs=10000, gamma=1.15, l_rate=0.001, log_file='logs/smile_adam_alpha.csv', seed=193012823, thr=1.0, w_scale=1.5)
Epoch 94 2271.7556 0.0000 0.0000
Epoch 95 2237.3120 1.0000 1.0000
Epoch 96 2227.7080 0.0000 0.0000
Epoch 97 2218.4563 0.0000 0.0000
Epoch 98 2177.0100 0.0000 0.0000
Epoch 99 2150.6277 1.0000 1.0000
Epoch 100 2142.3923 1.0000 1.0000
Epoch 101 2123.1531 0.0000 0.0000
Epoch 102 2094.5393 0.0000 0.0000
Epoch 103 2088.0591 0.0000 0.0000
Epoch 104 2083.4387 0.0000 0.0000
Epoch 105 2062.3083 1.0000 1.0000
Epoch 106 2020.3367 0.0000 0.0000
Epoch 107 1988.4888 0.0000 0.0000
Epoch 108 1980.8931 1.0000 1.0000
Epoch 109 1956.5526 1.0000 1.0000
Epoch 110 1959.6835 1.0000 1.0000
Epoch 111 1921.1848 0.0000 0.0000
Epoch 112 1917.2141 0.0000 0.0000
Epoch 113 1921.6630 0.0000 0.0000
Epoch 114 1916.3610 0.0000 0.0000
Epoch 115 1872.8031 0.0000 0.0000
Epoch 116 1904.7324 1.0000 1.0000
Epoch 117 1858.4391 0.0000 0.0000
Epoch 118 1820.3387 0.0000 0.0000
Epoch 119 1812.5513 1.0000 1.0000
Epoch 120 1818.0120 1.0000 1.0000
Epoch 121 1770.4431 0.0000 0.0000
Epoch 122 1787.0702 0.0000 0.0000
Epoch 123 1770.9420 1.0000 1.0000
Epoch 124 1748.5911 0.0000 0.0000
Epoch 125 1720.3209 0.0000 0.0000
Epoch 126 1731.9723 0.0000 0.0000
Epoch 127 1728.9645 0.0000 0.0000
Epoch 128 1713.3994 1.0000 1.0000
Epoch 129 1686.9825 1.0000 1.0000
Epoch 130 1694.7041 0.0000 0.0000
Epoch 131 1707.8693 1.0000 1.0000
Epoch 132 1654.7510 1.0000 1.0000
Epoch 133 1708.8210 0.0000 0.0000
Epoch 134 1615.2823 0.0000 0.0000
Epoch 135 1649.3994 1.0000 1.0000
Epoch 136 1624.4984 0.0000 0.0000
Epoch 137 1633.3040 0.0000 0.0000
Epoch 138 1598.9706 0.0000 0.0000
Epoch 139 1613.2522 1.0000 1.0000
Epoch 140 1562.0886 0.0000 0.0000
Epoch 141 1603.8618 0.0000 0.0000
Epoch 142 1594.7207 1.0000 1.0000
Epoch 143 1541.8254 0.0000 0.0000
Epoch 144 1540.0359 1.0000 1.0000
Epoch 145 1557.1088 0.0000 0.0000
Epoch 146 1556.1757 0.0000 0.0000
Epoch 147 1521.6194 1.0000 1.0000
Epoch 148 1510.9226 1.0000 1.0000
Epoch 149 1484.6248 1.0000 1.0000
Epoch 150 1517.8613 0.0000 0.0000
Epoch 151 1490.9977 0.0000 0.0000
Epoch 152 1474.0222 0.0000 0.0000
Epoch 153 1510.3870 1.0000 1.0000
Epoch 154 1457.3120 1.0000 1.0000
Epoch 155 1498.2643 1.0000 1.0000
Epoch 156 1513.3458 0.0000 0.0000
Epoch 157 1445.7729 0.0000 0.0000
Epoch 158 1449.2360 1.0000 1.0000
Epoch 159 1429.1202 1.0000 1.0000
Epoch 160 1437.1815 0.0000 0.0000
Epoch 161 1420.5360 0.0000 0.0000
Epoch 162 1444.5321 0.0000 0.0000
Epoch 163 1443.2675 0.0000 0.0000
Epoch 164 1460.4154 1.0000 1.0000
Epoch 165 1466.0999 0.0000 0.0000
Epoch 166 1398.4431 0.0000 0.0000
Epoch 167 1388.8173 0.0000 0.0000
Epoch 168 1428.6409 1.0000 1.0000
Epoch 169 1404.6825 1.0000 1.0000
Epoch 170 1394.4196 1.0000 1.0000
Epoch 171 1399.8422 0.0000 0.0000
Epoch 172 1423.1287 0.0000 0.0000
Epoch 173 1386.9407 1.0000 1.0000
Epoch 174 1397.4275 1.0000 1.0000
Epoch 175 1395.4817 1.0000 1.0000
Epoch 176 1392.0168 0.0000 0.0000
Epoch 177 1345.6237 0.0000 0.0000
Epoch 178 1401.6667 0.0000 0.0000
Epoch 179 1377.7375 0.0000 0.0000
Epoch 180 1369.7136 0.0000 0.0000
Epoch 181 1424.5145 1.0000 1.0000
Epoch 182 1411.0945 1.0000 1.0000
Epoch 183 1348.6979 0.0000 0.0000
Epoch 184 1370.3801 0.0000 0.0000
Epoch 185 1356.2217 0.0000 0.0000
Epoch 186 1404.0118 0.0000 0.0000
Epoch 187 1338.6010 0.0000 0.0000
Epoch 188 1343.3389 1.0000 1.0000
Epoch 189 1339.2875 1.0000 1.0000
Epoch 190 1320.3998 1.0000 1.0000
Epoch 191 1336.3595 1.0000 1.0000
Epoch 192 1309.9156 0.0000 0.0000
Epoch 193 1321.8745 0.0000 0.0000
Epoch 194 1302.4165 1.0000 1.0000
Epoch 195 1246.9166 1.0000 1.0000
Epoch 196 1290.4591 1.0000 1.0000
Epoch 197 1259.3623 1.0000 1.0000
Epoch 198 1245.4015 0.0000 0.0000
Epoch 199 1280.1074 0.0000 0.0000
Epoch 200 1228.2507 0.0000 0.0000
Epoch 201 1252.6571 0.0000 0.0000
Epoch 202 1226.4690 1.0000 1.0000
Epoch 203 1263.9938 0.0000 0.0000
Epoch 204 1251.9603 1.0000 1.0000
Epoch 205 1242.0095 1.0000 1.0000
Epoch 206 1234.6324 0.0000 0.0000
Epoch 207 1247.9221 1.0000 1.0000
Epoch 208 1212.5099 1.0000 1.0000
Epoch 209 1253.5364 0.0000 0.0000
Epoch 210 1214.5746 0.0000 0.0000
Epoch 211 1222.5354 0.0000 0.0000
Epoch 212 1228.4174 0.0000 0.0000
Epoch 213 1259.4551 1.0000 1.0000
Epoch 214 1232.2266 1.0000 1.0000
Epoch 215 1189.3850 0.0000 0.0000
Epoch 216 1192.1434 0.0000 0.0000
Epoch 217 1201.3949 1.0000 1.0000
Epoch 218 1205.6571 1.0000 1.0000
Epoch 219 1199.1418 1.0000 1.0000
Epoch 220 1220.8401 0.0000 0.0000
Epoch 221 1223.6101 1.0000 1.0000
Epoch 222 1242.1957 0.0000 0.0000
Epoch 223 1184.9669 0.0000 0.0000
Epoch 224 1219.7852 0.0000 0.0000
Epoch 225 1203.3936 1.0000 1.0000
Epoch 226 1187.8062 1.0000 1.0000
Epoch 227 1305.7089 1.0000 1.0000
Epoch 228 1272.4972 0.0000 0.0000
Epoch 229 1176.2152 0.0000 0.0000
Epoch 230 1241.0288 0.0000 0.0000
Epoch 231 1279.9065 0.0000 0.0000
Epoch 232 1255.4376 0.0000 0.0000
Epoch 233 1205.1080 0.0000 0.0000
Epoch 234 1216.0566 0.0000 0.0000
Epoch 235 1314.7684 0.0000 0.0000
Epoch 236 1192.0150 1.0000 1.0000
Epoch 237 1317.2665 0.0000 0.0000
Epoch 238 1278.6981 1.0000 1.0000
Epoch 239 1236.6139 1.0000 1.0000
Epoch 240 1340.0251 0.0000 0.0000
Epoch 241 1211.9467 0.0000 0.0000
Epoch 242 1233.4026 1.0000 1.0000
Epoch 243 1281.2996 0.0000 0.0000
Epoch 244 1182.7620 0.0000 0.0000
Epoch 245 1299.3835 0.0000 0.0000
Epoch 246 1232.8212 1.0000 1.0000
Epoch 247 1216.1794 1.0000 1.0000
Epoch 248 1218.0859 0.0000 0.0000
Epoch 249 1166.3405 0.0000 0.0000
Epoch 250 1219.9010 1.0000 1.0000
Epoch 251 1201.8750 0.0000 0.0000
Epoch 252 1211.0131 1.0000 1.0000
Epoch 253 1184.8859 0.0000 0.0000
Epoch 254 1195.2396 0.0000 0.0000
Epoch 255 1170.6565 0.0000 0.0000
Epoch 256 1190.8499 0.0000 0.0000
